customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost
19,123,clinic plus,2023-04-03,9,1.5,7,10.5
2,122,maida,2023-05-11,6,20,4,80
15,122,dantkanti,2023-07-04,4,100,2,200
8,122,maida,2023-08-07,6,20,1,20
17,121,sugar,2023-05-03,1,50,10,500
19,123,dantkanti,2023-05-18,8,100,10,1000
9,123,quaker oats,2023-03-29,9,212,5,1060
15,122,maida,2023-03-28,5,20,10,200
7,121,nutrella,2023-03-18,3,40,8,320
4,122,clinic plus,2023-04-12,4,1.5,3,4.5
1,122,sugar,2023-03-17,5,50,3,150
10,121,maida,2023-03-30,2,20,1,20
20,123,dantkanti,2023-04-13,8,100,2,200
16,123,nutrella,2023-06-30,7,40,9,360
16,123,refined oil,2023-05-22,7,110,5,550
18,122,dantkanti,2023-08-07,4,100,3,300
2,123,nutrella,2023-06-07,7,40,9,360
13,123,sugar,2023-06-06,8,50,5,250
13,123,quaker oats,2023-06-25,7,212,4,848
12,123,sugar,2023-06-01,7,50,1,50
10,121,quaker oats,2023-08-16,1,212,3,636
12,123,quaker oats,2023-07-08,7,212,4,848
7,123,clinic plus,2023-03-18,7,1.5,5,7.5
3,122,quaker oats,2023-07-03,5,212,10,2120
12,121,dantkanti,2023-07-10,1,100,8,800
11,123,maida,2023-07-23,8,20,4,80
20,122,quaker oats,2023-03-08,4,212,6,1272
5,121,clinic plus,2023-03-27,1,1.5,4,6.0
15,123,quaker oats,2023-06-14,8,212,10,2120
2,123,sugar,2023-04-05,7,50,9,450
5,123,clinic plus,2023-03-10,8,1.5,10,15.0
14,121,dantkanti,2023-07-18,2,100,7,700
4,122,dantkanti,2023-07-23,6,100,9,900
12,121,quaker oats,2023-04-29,2,212,10,2120
13,122,refined oil,2023-03-16,6,110,3,330
19,121,besan,2023-03-27,3,52,7,364
4,123,refined oil,2023-06-14,8,110,7,770
9,121,nutrella,2023-05-25,3,40,4,160
20,121,sugar,2023-07-02,2,50,2,100
3,123,nutrella,2023-04-21,8,40,9,360
16,122,besan,2023-07-27,5,52,4,208
8,121,quaker oats,2023-07-28,3,212,10,2120
9,122,quaker oats,2023-08-18,5,212,9,1908
12,123,maida,2023-07-12,8,20,7,140
10,122,clinic plus,2023-08-08,6,1.5,7,10.5
5,123,refined oil,2023-06-09,8,110,8,880
4,123,maida,2023-04-05,8,20,4,80
4,123,maida,2023-08-05,9,20,1,20
17,122,sugar,2023-04-15,4,50,1,50
2,121,besan,2023-03-13,3,52,1,52
6,122,clinic plus,2023-08-11,4,1.5,8,12.0
2,121,dantkanti,2023-08-17,1,100,10,1000
1,123,dantkanti,2023-04-16,7,100,3,300
7,121,dantkanti,2023-03-19,2,100,7,700
4,122,clinic plus,2023-06-01,5,1.5,1,1.5
5,123,besan,2023-05-05,7,52,9,468
11,122,dantkanti,2023-04-22,6,100,3,300
1,123,dantkanti,2023-05-26,7,100,4,400
2,123,maida,2023-04-04,8,20,7,140
1,123,besan,2023-07-30,8,52,2,104
7,121,clinic plus,2023-07-30,3,1.5,7,10.5
16,122,refined oil,2023-04-04,6,110,1,110
2,123,refined oil,2023-07-09,8,110,4,440
7,123,besan,2023-08-12,9,52,5,260
15,122,sugar,2023-06-20,4,50,5,250
17,121,besan,2023-08-14,1,52,6,312
17,121,refined oil,2023-05-30,3,110,6,660
9,121,besan,2023-07-02,3,52,8,416
14,121,nutrella,2023-06-30,2,40,7,280
18,122,besan,2023-06-24,6,52,9,468
17,123,refined oil,2023-07-16,8,110,5,550
16,123,refined oil,2023-04-04,7,110,10,1100
20,122,maida,2023-06-26,5,20,10,200
9,122,maida,2023-06-24,6,20,2,40
13,121,besan,2023-04-14,3,52,3,156
12,121,refined oil,2023-04-16,1,110,5,550
14,123,nutrella,2023-07-10,8,40,3,120
18,123,dantkanti,2023-07-01,9,100,8,800
16,122,nutrella,2023-08-03,6,40,2,80
17,123,sugar,2023-05-26,9,50,9,450
8,122,maida,2023-03-28,4,20,1,20
9,122,besan,2023-06-09,5,52,4,208
6,122,sugar,2023-07-15,6,50,6,300
18,123,besan,2023-06-09,8,52,3,156
14,123,sugar,2023-07-27,8,50,3,150
17,123,sugar,2023-05-02,8,50,3,150
1,121,clinic plus,2023-04-20,2,1.5,6,9.0
2,122,dantkanti,2023-04-07,4,100,5,500
4,121,quaker oats,2023-08-11,1,212,4,848
6,121,clinic plus,2023-06-01,1,1.5,4,6.0
8,123,refined oil,2023-03-20,9,110,6,660
12,121,dantkanti,2023-04-06,3,100,8,800
8,123,quaker oats,2023-08-13,8,212,7,1484
8,123,clinic plus,2023-04-22,7,1.5,10,15.0
15,123,besan,2023-07-20,8,52,7,364
1,123,clinic plus,2023-06-22,7,1.5,3,4.5
16,123,quaker oats,2023-05-07,8,212,9,1908
2,121,quaker oats,2023-06-19,1,212,10,2120
14,123,nutrella,2023-04-07,9,40,6,240
5,122,nutrella,2023-06-20,4,40,4,160
8,123,dantkanti,2023-04-23,7,100,10,1000
20,122,nutrella,2023-07-08,4,40,7,280
20,123,clinic plus,2023-04-18,8,1.5,5,7.5
9,123,refined oil,2023-06-06,9,110,3,330
11,121,besan,2023-05-11,1,52,4,208
11,121,sugar,2023-06-28,2,50,6,300
16,122,dantkanti,2023-04-20,4,100,2,200
10,122,nutrella,2023-05-24,6,40,1,40
10,121,besan,2023-03-13,1,52,2,104
18,122,clinic plus,2023-04-19,5,1.5,10,15.0
6,123,clinic plus,2023-06-08,9,1.5,8,12.0
20,123,refined oil,2023-06-12,8,110,3,330
10,122,dantkanti,2023-08-09,6,100,8,800
12,122,refined oil,2023-04-07,6,110,8,880
19,121,refined oil,2023-05-03,2,110,9,990
8,121,dantkanti,2023-07-24,3,100,7,700
20,123,sugar,2023-03-26,9,50,3,150
18,121,sugar,2023-06-20,3,50,10,500
19,121,quaker oats,2023-07-16,3,212,4,848
4,123,dantkanti,2023-06-20,8,100,10,1000
16,123,dantkanti,2023-07-16,9,100,1,100
11,121,besan,2023-05-22,2,52,10,520
10,122,dantkanti,2023-04-05,4,100,10,1000
5,121,nutrella,2023-05-08,1,40,8,320
5,123,clinic plus,2023-06-15,9,1.5,1,1.5
3,121,sugar,2023-07-30,1,50,5,250
10,121,besan,2023-05-16,3,52,1,52
18,123,maida,2023-07-10,9,20,1,20
17,121,sugar,2023-08-20,3,50,2,100
16,121,refined oil,2023-06-30,1,110,4,440
3,122,nutrella,2023-06-23,4,40,10,400
14,122,maida,2023-03-09,5,20,8,160
8,122,refined oil,2023-07-17,4,110,7,770
15,121,sugar,2023-04-12,2,50,8,400
20,122,clinic plus,2023-07-17,6,1.5,8,12.0
7,122,besan,2023-03-18,6,52,8,416
1,121,clinic plus,2023-04-01,3,1.5,8,12.0
7,121,dantkanti,2023-06-05,3,100,8,800
3,123,quaker oats,2023-05-01,9,212,3,636
2,123,quaker oats,2023-06-15,7,212,3,636
1,123,clinic plus,2023-06-11,9,1.5,9,13.5
20,123,dantkanti,2023-05-03,8,100,1,100
8,123,nutrella,2023-06-23,7,40,10,400
2,123,maida,2023-06-19,9,20,3,60
1,121,refined oil,2023-04-11,2,110,7,770
13,123,quaker oats,2023-04-27,8,212,8,1696
16,123,besan,2023-05-10,7,52,5,260
10,121,besan,2023-07-25,2,52,3,156
20,121,maida,2023-04-01,3,20,1,20
18,122,sugar,2023-07-28,4,50,10,500
13,121,sugar,2023-04-12,2,50,5,250
18,123,refined oil,2023-07-12,8,110,5,550
17,122,maida,2023-08-06,6,20,4,80
7,123,besan,2023-08-07,8,52,10,520
10,122,besan,2023-04-29,6,52,2,104
20,121,refined oil,2023-04-29,2,110,5,550
13,122,nutrella,2023-06-08,4,40,2,80
17,123,dantkanti,2023-06-22,7,100,6,600
14,122,quaker oats,2023-03-12,6,212,5,1060
7,123,quaker oats,2023-05-17,9,212,6,1272
4,123,dantkanti,2023-08-03,8,100,7,700
5,123,refined oil,2023-06-13,7,110,9,990
20,121,sugar,2023-05-25,1,50,8,400
17,123,sugar,2023-06-25,8,50,3,150
18,121,maida,2023-03-18,3,20,2,40
